"player_id","first_name","last_name","position","team_id","game_id","league","toi","time_on_ice","saves","goals_against","shots_against","goals","assists","points","penalty_minutes","faceoff_attempts","faceoff_wins","faceoff_losses","faceoff_pct","starting"
"6","Aerin","Frankel","G",1,42,"pwhl","60:00",60,32,3,35,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,43,"pwhl","57:12",57.2,35,2,37,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,43,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"22","Nicole","Hensley","G",2,43,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,43,"pwhl","60:00",60,29,0,29,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,44,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,44,"pwhl","65:00",65,22,3,25,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,44,"pwhl","65:00",65,43,3,46,0,0,0,0,0,0,0,NA,1
"59","Emerance","Maschmeyer","G",5,44,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"155","Corinne","Schroeder","G",4,46,"pwhl","58:15",58.2,27,4,31,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,46,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,46,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,46,"pwhl","59:50",59.8,25,3,28,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,45,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,45,"pwhl","60:00",60,22,1,23,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,45,"pwhl","18:44",18.7,11,0,11,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,45,"pwhl","40:00",40,15,3,18,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,47,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,47,"pwhl","60:00",60,23,0,23,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,47,"pwhl","57:41",57.7,30,2,32,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,47,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,48,"pwhl","61:48",61.8,21,2,23,0,0,0,0,0,0,0,NA,1
"6","Aerin","Frankel","G",1,48,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"155","Corinne","Schroeder","G",4,48,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,48,"pwhl","61:48",61.8,43,3,46,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,49,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,49,"pwhl","58:33",58.5,29,3,32,0,0,0,2,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,49,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,49,"pwhl","58:21",58.4,34,2,36,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,50,"pwhl","60:00",60,20,0,20,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,50,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,50,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,50,"pwhl","58:02",58,20,3,23,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,51,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,51,"pwhl","60:00",60,20,1,21,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,51,"pwhl","60:00",60,35,5,40,0,0,0,0,0,0,0,NA,1
